Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
EqualTo,2020-02-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Developer Tools, Information Technology,",1-10,3,"€4,530,000",Seed,2021-06-10,"€3,500,000",11.0,1.0,Spreadsheet tooling for the modern stack.,Developer Tools,EqualTo Developer Tools startup website,66.0,,,,0,€,4530000.0,€,3500000.0,1.22,historical,1.22,4530000.0,3500000.0,4
ROQ Technology,2020-08-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Software,,,",11-50,1,"$10,000,000",Seed,2021-06-14,"$10,000,000",1.0,,ROQ Technology provides functional UI components and APIs for all critical features required to build the web application.,Information Technology,ROQ Technology Information Technology startup website,3775.0,,1000.0,500.0,1,$,10000000.0,$,10000000.0,1.21,historical,1.21,12100000.0,12100000.0,4
Meetsales,2020-12-10,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Data Visualization, Direct Sales,,,,,,,",1-10,1,"€800,000",Pre-Seed,2021-06-15,"€800,000",8.0,,Meetsales - the only headless video-based web app your B2B sales team needs,B2B,Meetsales B2B startup website,26.0,,695.0,,0,€,800000.0,€,800000.0,1.21,historical,1.21,800000.0,800000.0,4
Remi,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Computer, Software",1-10,1,"€1,200,000",Pre-Seed,2021-06-16,"€1,200,000",8.0,3.0,"The culture building platform to help remote teams build connection, easily and effectively. Join the waitlist.",Computer,Remi Computer startup website,,,4000.0,500.0,1,€,1200000.0,€,1200000.0,1.21,historical,1.21,1200000.0,1200000.0,4
Laya Technologies,2020-02-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Information Technology,",1-10,1,"€4,000,000",Seed,2021-06-23,"€4,000,000",,,"Laya enables dynamic, fully automated vacation packages for travel brands.",Artificial Intelligence (AI),Laya Technologies Artificial Intelligence (AI) startup website,,,2000.0,500.0,1,€,4000000.0,€,4000000.0,1.19,historical,1.19,4000000.0,4000000.0,4
heyvie,2021-05-31,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,"Machine Learning, Neuroscience,",1-10,1,"€435,000",Pre-Seed,2021-07-01,"€435,000",2.0,,Imagine a society in which every human could pursue whatever goal they want. Say hey to your new life. Say heyvie.,Machine Learning,heyvie Machine Learning startup website,,,114000.0,500.0,1,€,435000.0,€,435000.0,1.19,historical,1.19,435000.0,435000.0,3
klaep,2021-06-02,"Freiburg, Baden-Wurttemberg,",Freiburg,Baden-Wurttemberg,"Android, Information Technology,,,,,,,,",1-10,1,,Pre-Seed,2021-07-01,,2.0,,Mobile Music Collaboration App,Android,klaep Android startup website,,998.0,5000.0,500.0,1,,,,,1.19,historical,1.19,,,3
HarvestAi,2020-01-01,"Potsdam, Brandenburg, Germany",Potsdam,Brandenburg,"Artificial Intelligence (AI), Farming,,",11-50,1,"€2,700,000",Seed,2021-07-01,"€2,700,000",,1.0,SaaS for predicting plant growth and optimizing operations in greenhouses.,Artificial Intelligence (AI),HarvestAi Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,€,2700000.0,€,2700000.0,1.19,historical,1.19,2700000.0,2700000.0,5
_blaenk,2020-10-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Advertising, Cloud Data Services,,,",11-50,2,"$1,733,349",Seed,2021-07-01,"$560,000",5.0,,The the leading Omnichannel RetailTech Startup in Europe.,Advertising,_blaenk Advertising startup website,,,1000.0,500.0,1,$,1733349.0,$,560000.0,1.19,historical,1.19,2062685.31,666400.0,4
trustkey,2020-01-01,"Kirchheim, Bayern, Germany",Kirchheim,Bayern,"Customer Service, Data Management,,,",1-10,1,,Seed,2021-07-07,,2.0,,"Trustkey is a software company that provides living processes-As-A-Service in one system, driven by templates and improved by metrics.",Customer Service,trustkey Customer Service startup website,197.0,,12.0,448.0,0,,,,,1.18,historical,1.18,,,5
ROADIA,2021-01-01,"Potsdam, Brandenburg, Germany",Potsdam,Brandenburg,"Analytics, Artificial Intelligence (AI),,",11-50,2,"$1,042,279",Pre-Seed,2021-07-29,"$1,000,000",1.0,6.0,ROADIA is a potsdam based company that develops scalable road safety sensors,Analytics,ROADIA Analytics startup website,,,559.0,500.0,1,$,1042279.0,$,1000000.0,1.18,historical,1.18,1229889.22,1180000.0,4
Retalos,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Retail,",1-10,1,,Pre-Seed,2021-08-01,,,,The Next Step for Retail Technology,Information Technology,Retalos Information Technology startup website,,,459.0,500.0,1,,,,,1.19,historical,1.19,,,5
Character,2021-08-01,"Emmelshausen, Rheinland-Pfalz,",Emmelshausen,Rheinland-Pfalz,"Consumer Software, Social, Software",1-10,1,,Pre-Seed,2021-08-02,,1.0,,Friend-finding app based on thought-provoking questions,Consumer Software,Character Consumer Software startup website,,,,,0,,,,,1.19,historical,1.19,,,3
OOHLEMON,2020-05-28,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Ad Targeting, Advertising, Advertising Platforms,,,",11-50,1,,Seed,2021-08-03,,,,OOHLEMON is an advertising company that gives screens to the community and earns a passive income.,Ad Targeting,OOHLEMON Ad Targeting startup website,,,145.0,424.0,0,,,,,1.19,historical,1.19,,,4
focused ai,2021-08-06,"Ingelheim Am Rhein, Rheinland-Pfalz,",Ingelheim Am Rhein,Rheinland-Pfalz,"Artificial Intelligence (AI), Information Technology,",1-10,1,,Pre-Seed,2021-08-06,,3.0,1.0,AI-powered information distribution hub for construction companies: Making sure that all info finally ends up where it is supposed to be.,Artificial Intelligence (AI),focused ai Artificial Intelligence (AI) startup website,,534.0,6000.0,500.0,1,,,,,1.18,historical,1.18,,,3
DIDIT,2020-02-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Mobile Payments, Payments, Restaurants",11-50,2,"€4,000,000",Seed,2021-08-15,"€2,000,000",6.0,,Pay at restaurants whenever and whoever you want - in just 15 seconds.,Mobile Payments,DIDIT Mobile Payments startup website,,,1000.0,,0,€,4000000.0,€,2000000.0,1.18,historical,1.18,4000000.0,2000000.0,4
Daliado,2021-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Cryptocurrency, Real Estate,",11-50,2,"$100,000",Pre-Seed,2021-08-27,"$80,000",,1.0,Flexible tokenized Second Home co-owning,Blockchain,Daliado Blockchain startup website,,,9000.0,500.0,1,$,100000.0,$,80000.0,1.18,historical,1.18,118000.0,94400.0,3
Moving Parts,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Developer Tools, iOS, Software",1-10,1,"$125,000",Pre-Seed,2021-08-31,"$125,000",5.0,,Moving Parts is building a library of reusable UI components for iOS.,Developer Tools,Moving Parts Developer Tools startup website,,,,,0,$,125000.0,$,125000.0,1.18,historical,1.18,147500.0,147500.0,4
Jungle Program,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Corporate Training, Education,,",1-10,2,,Pre-Seed,2021-09-01,,1.0,,Jungle Program helps guide developers through their technical challenges.,Corporate Training,Jungle Program Corporate Training startup website,,,2000.0,500.0,1,,,,,1.18,historical,1.18,,,5
Sled,2021-01-01,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,"Analytics, Information Technology,",11-50,1,"$125,000",Pre-Seed,2021-09-02,"$125,000",1.0,,Sled enables the extraction of metadata and usage data that is not available to exist data catalog solutions.,Analytics,Sled Analytics startup website,,,,,0,$,125000.0,$,125000.0,1.18,historical,1.18,147500.0,147500.0,4
Lhotse,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Enterprise Software, Information Technology,,",11-50,1,"€5,000,000",Seed,2021-09-13,"€5,000,000",7.0,4.0,Lhotse is an intuitive SaaS platform that automates and simplifies procurement,Enterprise Software,Lhotse Enterprise Software startup website,,,3000.0,500.0,1,€,5000000.0,€,5000000.0,1.18,historical,1.18,5000000.0,5000000.0,5
Retamo,2020-04-01,"Offenburg, Baden-Wurttemberg,",Offenburg,Baden-Wurttemberg,Software,1-10,1,,Seed,2021-09-13,,1.0,,"Retamo enables the monitoring, generation, marketing and evaluation of online customer ratings.",Software,Retamo Software startup website,3.0,146.0,649.0,500.0,1,,,,,1.18,historical,1.18,,,4
Kansi Solutions,2021-08-02,"Namborn, Saarland, Germany",Namborn,Saarland,"Cryptocurrency, Telecommunications",1-10,1,"$500,000",Pre-Seed,2021-09-15,"$500,000",,2.0,Decentralized Mining Solutions,Cryptocurrency,Kansi Solutions Cryptocurrency startup website,903.0,,,,0,$,500000.0,$,500000.0,1.18,historical,1.18,590000.0,590000.0,3
Sub Capitals GmbH,2021-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Financial Services,,,",1-10,1,,Pre-Seed,2021-09-15,,1.0,6.0,"Sub Capitals vision is to bring more equality to the financial markets. To achieve this, they are enabling AI in every investment process.",Artificial Intelligence (AI),Sub Capitals GmbH Artificial Intelligence (AI) startup website,,626.0,2000.0,500.0,1,,,,,1.18,historical,1.18,,,4
Superbryte,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Consulting, Education, Software,",,1,,Pre-Seed,2021-09-20,,1.0,,"Superbryte we are building a universal, digital suite for coaches, teachers, educators and instructors.",Consulting,Superbryte Consulting startup website,,,114000.0,500.0,1,,,,,1.17,historical,1.17,,,4
202up,2020-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Business Development, E-Commerce,,",1-10,1,"€1,100,000",Seed,2021-09-20,"€1,100,000",1.0,,202up is a B2B (Business-to-Business) E-commerce Platform And E-commerce Software for the Real Estate Market.,Business Development,202up Business Development startup website,,,216.0,478.0,0,€,1100000.0,€,1100000.0,1.17,historical,1.17,1100000.0,1100000.0,4
tucan.ai,2020-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Natural Language Processing,,,",11-50,2,,Pre-Seed,2021-09-20,,4.0,1.0,Your tool for more productive meetings.,Natural Language Processing,tucan.ai Natural Language Processing startup website,,,2000.0,500.0,1,,,,,1.17,historical,1.17,,,4
Insightful,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Digital Entertainment, EdTech,",1-10,1,"€170,000",Pre-Seed,2021-09-22,"€170,000",1.0,1.0,Insightful is an application that provides educational videos.,Digital Entertainment,Insightful Digital Entertainment startup website,466.0,,4000.0,500.0,1,€,170000.0,€,170000.0,1.17,historical,1.17,170000.0,170000.0,4
Optalio,2020-01-01,"Eschborn, Hessen, Germany",Eschborn,Hessen,"Analytics, SaaS, Software",11-50,1,"€175,000",Seed,2021-09-28,"€175,000",,,"Optalio is a SaaS and PLM provider for data analysis, process monitoring, and production optimization.",Analytics,Optalio Analytics startup website,,,840.0,500.0,1,€,175000.0,€,175000.0,1.17,historical,1.17,175000.0,175000.0,5
emlen,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, E-Commerce Platforms, Sales,",11-50,2,"$5,400,000",Seed,2021-09-30,"$4,200,000",2.0,,emlen is a first-buyer enablement platform that enables business-to-business clients to create visually appealing digital sales rooms.,B2B,emlen B2B startup website,,,4000.0,500.0,1,$,5400000.0,$,4200000.0,1.16,historical,1.16,6264000.0,4872000.0,5
Aparkado,2020-02-07,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Logistics, Software, Supply Chain Management",11-50,1,,Pre-Seed,2021-10-01,,,,We launched the LKW.APP to empower truck drivers in their everyday life by leveraging an innovative app.,Logistics,Aparkado Logistics startup website,,879.0,,,0,,,,,1.16,historical,1.16,,,4
tantum sana GmbH,2021-10-01,"Pfungstadt, Hessen, Germany",Pfungstadt,Hessen,"Apps, Assisted Living, Consumer Electronics,,,,,",11-50,1,"€3,400,000",Seed,2021-10-01,"€3,400,000",,3.0,Tantum sana provides a smart medication dispenser for elderly people and their caregivers.,Apps,tantum sana GmbH Apps startup website,,,346.0,500.0,1,€,3400000.0,€,3400000.0,1.16,historical,1.16,3400000.0,3400000.0,3
ACTIMI,2021-06-30,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Health Care, Medical Device, Software",11-50,2,"€378,000",Pre-Seed,2021-10-04,"€200,000",,,ACTIMI develops a remote patient monitoring platform for chronic diseases.,Health Care,ACTIMI Health Care startup website,,,3000.0,500.0,1,€,378000.0,€,200000.0,1.16,historical,1.16,378000.0,200000.0,3
goCAD,2021-09-06,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"E-Commerce Platforms, Manufacturing,,",1-10,1,,Pre-Seed,2021-10-05,,1.0,,The plug & play SaaS order portal for CNC manufacturers with instant price quotes.,E-Commerce Platforms,goCAD E-Commerce Platforms startup website,,,356.0,456.0,0,,,,,1.16,historical,1.16,,,3
xRouten,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Mobile Apps, Navigation, SaaS",,1,,Seed,2021-10-06,,1.0,,The delivery planner for professionals.,Mobile Apps,xRouten Mobile Apps startup website,,,,,0,,,,,1.16,historical,1.16,,,5
Swap Kiwi,2021-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Blockchain, Cryptocurrency, Financial Services,,",,1,,Pre-Seed,2021-10-10,,1.0,,Swap Kiwi is an NFT swapping platform that aims to make NFT exchanges simpler.,Blockchain,Swap Kiwi Blockchain startup website,1541.0,,,,0,,,,,1.16,historical,1.16,,,4
CURE,2020-10-30,"Berlin, Berlin, Germany",Berlin,Berlin,"Accounting, Banking, Billing, Finance,,,",1-10,1,"€1,400,000",Seed,2021-10-11,"€1,400,000",3.0,3.0,CURE - Digital Banking for Health Professionals,Accounting,CURE Accounting startup website,,,,,0,€,1400000.0,€,1400000.0,1.16,historical,1.16,1400000.0,1400000.0,4
Coinformation,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Financial Services, Information Technology,,",1-10,1,,Pre-Seed,2021-10-12,,,,Coinformation brings transparency into the crypto world to help its customers make better investment decisions.,Financial Services,Coinformation Financial Services startup website,,,281.0,500.0,1,,,,,1.16,historical,1.16,,,4
koppla,2020-04-21,"Potsdam, Brandenburg, Germany",Potsdam,Brandenburg,"Construction, Real Estate, SaaS,",11-50,2,"€1,600,000",Seed,2021-10-14,"€1,600,000",3.0,1.0,koppla is the intuitive construction schedule that turns chaos into ease.,Construction,koppla Construction startup website,,,4000.0,500.0,1,€,1600000.0,€,1600000.0,1.16,historical,1.16,1600000.0,1600000.0,4
Flash,2021-10-14,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, E-Commerce, Internet, Mobile Payments,,",1-10,1,"€500,000",Pre-Seed,2021-10-14,"€500,000",1.0,1.0,Flash helps brands create the mobile shopping for their customers in both the digital and the physicalworld.,Apps,Flash Apps startup website,71.0,,8000.0,500.0,1,€,500000.0,€,500000.0,1.16,historical,1.16,500000.0,500000.0,3
propertunity.ai,2021-10-04,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,Artificial Intelligence (AI),1-10,1,,Pre-Seed,2021-10-14,,1.0,,The world's first tool for automated property search for real estate development based on artificial intelligence,Artificial Intelligence (AI),propertunity.ai Artificial Intelligence (AI) startup website,,,,,0,,,,,1.16,historical,1.16,,,3
fina,2020-10-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Financial Services, FinTech, Software,",11-50,1,,Pre-Seed,2021-10-19,,11.0,3.0,fina is the simplest wallet interface for beginners to start exploring crypto and DeFi safely.,Financial Services,fina Financial Services startup website,,,755.0,500.0,1,,,,,1.16,historical,1.16,,,4
Alocai,2021-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Software",11-50,1,,Pre-Seed,2021-10-21,,1.0,,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.,Artificial Intelligence (AI),Alocai Artificial Intelligence (AI) startup website,18.0,,905.0,500.0,1,,,,,1.17,historical,1.17,,,3
Y42,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Business Intelligence,,,,",51-100,2,"$33,900,000",Series A,2021-10-25,"$31,000,000",4.0,11.0,Y42 is the first fully managed Modern DataOps Cloud for production-ready data pipelines on top of Google BigQuery and Snowflake.,Analytics,Y42 Analytics startup website,,,8000.0,500.0,1,$,33900000.0,$,31000000.0,1.16,historical,1.16,39324000.0,35960000.0,5
Value Cloud,2021-10-25,"Kaiserslautern, Rheinland-Pfalz,",Kaiserslautern,Rheinland-Pfalz,"Artificial Intelligence (AI), Cloud Management,,",1-10,1,,Pre-Seed,2021-10-25,,1.0,,We stand for holistic value creation with open source cloud and AI technology.,Artificial Intelligence (AI),Value Cloud Artificial Intelligence (AI) startup website,,,366.0,290.0,0,,,,,1.16,historical,1.16,,,3
Goldn,2021-02-01,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,"Chemical, Cosmetics, SaaS",11-50,1,"€1,200,000",Pre-Seed,2021-10-31,"€1,200,000",,2.0,Goldn provides a digital ecosystem connecting brands and suppliers in order to optimize the cosmetics production workflow.,Chemical,Goldn Chemical startup website,,372.0,,,0,€,1200000.0,€,1200000.0,1.16,historical,1.16,1200000.0,1200000.0,3
AreaOne,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Big Data, Data Integration, Real Estate,,",1-10,2,"€346,000",Seed,2021-11-01,"€250,000",2.0,,Matchingmaking for your perfect home,Big Data,AreaOne Big Data startup website,,,118.0,500.0,1,€,346000.0,€,250000.0,1.16,historical,1.16,346000.0,250000.0,4
FRATCH,2021-11-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), B2B,,",1-10,1,,Pre-Seed,2021-11-01,,,1.0,"Your AI Assistant to find freelancers and interim managers in seconds – no recruiter calls needed, legally compliant, and cost-efficient",Artificial Intelligence (AI),FRATCH Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,,,,,1.16,historical,1.16,,,3
oestreicher,2021-10-18,"Heidenheim, Baden-Wurttemberg,",Heidenheim,Baden-Wurttemberg,"Artificial Intelligence (AI), EdTech,,",1-10,1,,Pre-Seed,2021-11-01,,,,EdTech Services for Children,Artificial Intelligence (AI),oestreicher Artificial Intelligence (AI) startup website,,,98.0,500.0,1,,,,,1.16,historical,1.16,,,3
Unifai,2020-10-01,"Muenchen, Bayern, Germany",Muenchen,Bayern,"Management Information Systems,,,",1-10,2,"€1,100,000",Seed,2021-11-01,"€900,000",2.0,,Unifai offers a SaaS solution to help hospitality providers to digitalize their hotel.,Management Information Systems,Unifai Management Information Systems startup website,55.0,,8000.0,500.0,1,€,1100000.0,€,900000.0,1.16,historical,1.16,1100000.0,900000.0,4
Avelios Medical,2020-09-11,"Munich, Bayern, Germany",Munich,Bayern,"Health Care, Software",51-100,1,"€2,000,000",Seed,2021-11-02,"€2,000,000",2.0,1.0,Modular hospital platform that digitizes and optimizes all processes in hospitals in a user-friendly way.,Health Care,Avelios Medical Health Care startup website,,,3000.0,500.0,1,€,2000000.0,€,2000000.0,1.16,historical,1.16,2000000.0,2000000.0,4
